index,mean,variance
293,3759782.258503401,20790571903166.977
294,3764569.261016949,20726615713157.914
295,3763509.628378378,20656688353989.324
296,3752889.5892255893,20620399458472.52
297,3740296.0067114094,20598232803588.242
298,3727786.662207358,20575899843275.414
299,3730860.42,20509918520826.38
300,3740639.900332226,20470339234663.043
301,3728253.682119205,20448663820408.723
302,3715949.221122112,20426827140466.36
303,3703725.710526316,20404833789606.516
304,3694914.0721311476,20361394342043.113
305,3718994.3398692813,20472072616137.297
306,3721659.7785016284,20407351518917.91
307,3709576.5064935065,20385847743627.62
308,3707322.724919094,20321229501476.2
309,3695363.6322580646,20299801172862.94
310,3684421.234726688,20271555859094.547
311,3692473.6794871795,20226604669843.26
312,3680676.6453674124,20205336023111.156
313,3675771.3248407645,20148337755113.254
314,3670264.9396825396,20093721961780.36
315,3672122.8037974685,20031023092516.87
316,3661946.6056782333,20000460716520.29
317,3651383.251572327,19972851635595.46
318,3663295.429467085,19955310020370.2
319,3651847.6375,19934690810680.266
320,3640471.171339564,19913940000215.047
321,3630213.254658385,19885785207146.133
322,3620297.609907121,19855785473728.68
323,3614117.1172839506,19806688764143.258
324,3612266.227692308,19746670391189.52
325,3601185.662576687,19725937334360.246
326,3606561.626911315,19674878948688.54
327,3611946.8353658537,19624223277349.8
328,3613530.2066869303,19565218152633.086
329,3627139.624242424,19566870765694.72
330,3663175.6555891237,19937412346697.812
331,3652142.0,19917596669017.527
332,3644771.8558558556,19875692143193.188
333,3633859.371257485,19855778874917.047
334,3623012.0358208953,19835748105006.543
335,3612229.2678571427,19815602993179.992
336,3623323.744807122,19798108444405.164
337,3612603.8579881657,19778201947143.957
338,3603161.634218289,19749910301683.016
339,3628279.7529411763,19906163741239.375
340,3623577.4076246335,19855156410377.285
341,3615499.602339181,19819245966118.766
342,3607255.084548105,19784609375769.258
343,3605296.3255813955,19728248136293.215
344,3597504.747826087,19691843073708.85
345,3612817.063583815,19715890854495.176
346,3605449.446685879,19677744288212.973
347,3605209.0862068967,19621056196476.598
348,3617163.9312320915,19614552344616.6
349,3610562.342857143,19573603528076.66
350,3622055.3846153845,19564042539676.566
351,3616596.278409091,19518794774624.215
352,3611523.263456091,19472428277797.215
353,3604085.1016949154,19436851084094.285
354,3613159.4929577466,19411177049860.453
355,3603010.1741573033,19393168765161.25
356,3610921.4509803923,19361037595447.523
357,3607347.5251396648,19311377711778.527
358,3602373.704735376,19266316577235.24
359,3596014.8722222224,19227206467577.86
360,3586053.617728532,19209618360106.27
361,3576317.917127072,19190717880446.457
362,3574884.396694215,19138450805669.348
363,3589956.9505494507,19168422004912.76
364,3586594.591780822,19119887996517.74
365,3594935.693989071,19092968820626.496
366,3600766.228882834,19053278454482.465
367,3591447.8967391304,19033316087945.812
368,3581766.2547425474,19016183037071.273
369,3580774.7675675675,18965012393019.812
370,3571123.088948787,18948316070727.85
371,3576557.935483871,18908230413656.754
372,3607410.8579088473,19212461589942.23
373,3597765.4064171123,19195748640718.117
374,3588171.370666667,19178940180336.01
375,3583790.473404255,19135012629924.863
376,3580749.2785145887,19087608461504.395
377,3571276.402116402,19070898176715.805
378,3565652.332453826,19032433895614.035
379,3557812.8157894737,19005570440113.33
380,3560367.1338582677,18958041631103.89
381,3586392.497382199,19167019058435.332
382,3582243.3838120103,19123437015803.2
383,3572914.640625,19106924143441.812
384,3582957.303896104,19095995736431.992
385,3577911.0518134716,19056225106297.645
386,3577346.0620155036,19006980183086.63
387,3569992.530927835,18978847413952.12
388,3568401.994858612,18930916952901.66
389,3563112.676923077,18893162341468.742
390,3581087.8618925833,18971053279867.97
391,3571952.4438775512,18955248660041.918
392,3566148.692111959,18920131062949.09
393,3561074.162436548,18882134071278.996
394,3556451.458227848,18842650783837.99
395,3562884.9696969697,18811338338111.22
396,3562641.0831234255,18763858572291.844
397,3595306.2763819094,19141266355450.13
398,3587919.5037593986,19114943920892.1
399,3584810.57,19070902980918.95
400,3586590.259351621,19024495808436.15
401,3630011.109452736,19734972005345.824
402,3625139.5334987594,19695444132850.246
403,3627997.0198019804,19649870815142.816
404,3619866.098765432,19628007831191.473
405,3628685.541871921,19611123340468.023
406,3621419.42997543,19584308208520.324
407,3620743.3039215687,19536376030881.105
408,3614565.9315403425,19504100167475.977
409,3630540.0780487806,19561033957238.88
410,3625733.416058394,19522819862109.1
411,3624718.990291262,19475743056426.246
412,3633732.372881356,19462024395555.965
413,3625416.270531401,19443532078938.113
414,3621599.286746988,19402613312169.69
415,3621005.3990384615,19356006751366.027
416,3618092.5419664267,19313016024029.254
417,3609436.827751196,19298018977345.93
418,3602523.202863962,19271878917435.848
419,3597241.7952380953,19237599151619.844
420,3592275.059382423,19202180767906.254
421,3585723.701421801,19174682250078.492
422,3578505.9810874704,19151281005341.61
423,3570066.113207547,19136208210156.05
424,3570918.4376470586,19091384387826.496
425,3578651.3896713615,19071937664410.883
426,3576136.505854801,19029868479227.723
427,3586487.920560748,19031163007093.62
428,3595084.303030303,19018399825545.375
429,3586723.646511628,19004125139512.098
430,3596778.5011600927,19003503643615.523
